Date,LINK
1/10/17,0.436646998
2/10/17,0.356766999
3/10/17,0.34553501
4/10/17,0.39736101
5/10/17,0.40653801
6/10/17,0.47576499
7/10/17,0.463656992
8/10/17,0.397136986
9/10/17,0.380589008
10/10/17,0.407469004
11/10/17,0.450462997
12/10/17,0.444011003
13/10/17,0.434603006
14/10/17,0.391860008
15/10/17,0.413516015
16/10/17,0.423806995
17/10/17,0.400848001
18/10/17,0.366228998
19/10/17,0.300000012
20/10/17,0.223874003
21/10/17,0.252680987
22/10/17,0.264694989
23/10/17,0.248675004
24/10/17,0.254453003
25/10/17,0.254435003
26/10/17,0.227041006
27/10/17,0.224644005
28/10/17,0.206531003
29/10/17,0.198875993
30/10/17,0.209849
31/10/17,0.193911999
1/11/17,0.157610998
2/11/17,0.167427003
3/11/17,0.171798006
4/11/17,0.177603006
5/11/17,0.172059
6/11/17,0.167456001
7/11/17,0.177539006
8/11/17,0.213909
9/11/17,0.223968998
10/11/17,0.187601998
11/11/17,0.179769993
12/11/17,0.170898005
13/11/17,0.183071002
14/11/17,0.188114002
15/11/17,0.186138004
16/11/17,0.169761002
17/11/17,0.159649
18/11/17,0.170872003
19/11/17,0.162354007
20/11/17,0.162183002
21/11/17,0.154972002
22/11/17,0.168514997
23/11/17,0.164383993
24/11/17,0.192920998
25/11/17,0.180959001
26/11/17,0.182888001
27/11/17,0.184167996
28/11/17,0.176423997
29/11/17,0.145254999
30/11/17,0.170460999
1/12/17,0.177823007
2/12/17,0.207898006
3/12/17,0.230628997
4/12/17,0.229580998
5/12/17,0.313876987
6/12/17,0.291570008
7/12/17,0.260064006
8/12/17,0.245225996
9/12/17,0.238858998
10/12/17,0.252898008
11/12/17,0.260592014
12/12/17,0.231424004
13/12/17,0.261878014
14/12/17,0.308503002
15/12/17,0.320793003
16/12/17,0.341392994
17/12/17,0.417596012
18/12/17,0.434906989
19/12/17,0.439355999
20/12/17,0.372795999
21/12/17,0.424286991
22/12/17,0.426878005
23/12/17,0.577679992
24/12/17,0.544161975
25/12/17,0.501932979
26/12/17,0.521421015
27/12/17,0.505500972
28/12/17,0.506696999
29/12/17,0.486348003
30/12/17,0.586127996
31/12/17,0.60155201
1/1/18,0.733563006
2/1/18,0.673712015
3/1/18,0.681167006
4/1/18,0.984368026
5/1/18,0.907486022
6/1/18,1.063570023
7/1/18,1.27046001
8/1/18,1.377300024
9/1/18,1.228279948
10/1/18,1.188709974
11/1/18,1.010329962
12/1/18,1.051560044
13/1/18,1.101230025
14/1/18,1.010840058
15/1/18,0.877687991
16/1/18,0.756452978
17/1/18,0.698634028
18/1/18,0.744229972
19/1/18,0.812905014
20/1/18,1.219300032
21/1/18,0.887827992
22/1/18,0.802857995
23/1/18,0.801917017
24/1/18,0.792863011
25/1/18,0.760437012
26/1/18,0.709852993
27/1/18,0.780674994
28/1/18,0.760600984
29/1/18,0.697712004
30/1/18,0.596777976
31/1/18,0.620145977
1/2/18,0.520346999
2/2/18,0.49457401
3/2/18,0.518558025
4/2/18,0.434370995
5/2/18,0.341506004
6/2/18,0.425247997
7/2/18,0.376771003
8/2/18,0.411080003
9/2/18,0.435193986
10/2/18,0.419874012
11/2/18,0.416157007
12/2/18,0.490281999
13/2/18,0.570758998
14/2/18,0.568252981
15/2/18,0.565250993
16/2/18,0.639627993
17/2/18,0.67248702
18/2/18,0.76176101
19/2/18,0.774362028
20/2/18,0.699926019
21/2/18,0.653669
22/2/18,0.601922989
23/2/18,0.674790978
24/2/18,0.650958002
25/2/18,0.675715029
26/2/18,0.691446006
27/2/18,0.723957002
28/2/18,0.661446989
1/3/18,0.663065016
2/3/18,0.652742028
3/3/18,0.628705978
4/3/18,0.592818022
5/3/18,0.58673799
6/3/18,0.533869982
7/3/18,0.521148026
8/3/18,0.486422002
9/3/18,0.480877012
10/3/18,0.467709988
11/3/18,0.513523996
12/3/18,0.510197997
13/3/18,0.563840985
14/3/18,0.443608999
15/3/18,0.419737011
16/3/18,0.424419999
17/3/18,0.373861015
18/3/18,0.373338014
19/3/18,0.381644011
20/3/18,0.391712993
21/3/18,0.44542101
22/3/18,0.419292003
23/3/18,0.409139991
24/3/18,0.419084996
25/3/18,0.406105012
26/3/18,0.371495992
27/3/18,0.342624992
28/3/18,0.351366997
29/3/18,0.280160993
30/3/18,0.287494004
31/3/18,0.280171007
1/4/18,0.26157999
2/4/18,0.273683995
3/4/18,0.295473009
4/4/18,0.290161014
5/4/18,0.286924988
6/4/18,0.275061995
7/4/18,0.304123998
8/4/18,0.327093989
9/4/18,0.311527997
10/4/18,0.355836004
11/4/18,0.359286994
12/4/18,0.386810988
13/4/18,0.38154301
14/4/18,0.394006997
15/4/18,0.423945993
16/4/18,0.409538001
17/4/18,0.416794002
18/4/18,0.446289986
19/4/18,0.482795
20/4/18,0.481415987
21/4/18,0.491349012
22/4/18,0.499311
23/4/18,0.492385
24/4/18,0.536823988
25/4/18,0.434367001
26/4/18,0.490148008
27/4/18,0.452004999
28/4/18,0.484476
29/4/18,0.51571399
30/4/18,0.544691026
1/5/18,0.550400972
2/5/18,0.564701021
3/5/18,0.567668974
4/5/18,0.58258301
5/5/18,0.571534991
6/5/18,0.538398981
7/5/18,0.573018014
8/5/18,0.552856982
9/5/18,0.539511979
10/5/18,0.526373029
11/5/18,0.467844009
12/5/18,0.464763999
13/5/18,0.50345701
14/5/18,0.516911983
15/5/18,0.504004002
16/5/18,0.480890989
17/5/18,0.444447011
18/5/18,0.456840992
19/5/18,0.453085989
20/5/18,0.453171015
21/5/18,0.424356014
22/5/18,0.376996994
23/5/18,0.348690003
24/5/18,0.360525995
25/5/18,0.342848003
26/5/18,0.36462
27/5/18,0.345248997
28/5/18,0.31584999
29/5/18,0.351256996
30/5/18,0.335833997
31/5/18,0.344772995
1/6/18,0.349503011
2/6/18,0.367309988
3/6/18,0.362293988
4/6/18,0.340508997
5/6/18,0.336190999
6/6/18,0.329863995
7/6/18,0.306769997
8/6/18,0.293531001
9/6/18,0.297623992
10/6/18,0.241827995
11/6/18,0.262975007
12/6/18,0.228635997
13/6/18,0.214525998
14/6/18,0.239963993
15/6/18,0.223556995
16/6/18,0.222021997
17/6/18,0.214001998
18/6/18,0.210079998
19/6/18,0.220764995
20/6/18,0.225581005
21/6/18,0.212880999
22/6/18,0.186088994
23/6/18,0.193660006
24/6/18,0.186943993
25/6/18,0.179697007
26/6/18,0.170771003
27/6/18,0.171994999
28/6/18,0.166278005
29/6/18,0.181071997
30/6/18,0.226619005
1/7/18,0.221200004
2/7/18,0.248999998
3/7/18,0.236517996
4/7/18,0.232286006
5/7/18,0.218493998
6/7/18,0.229948997
7/7/18,0.249942005
8/7/18,0.246745005
9/7/18,0.235216007
10/7/18,0.211166993
11/7/18,0.206735
12/7/18,0.204594001
13/7/18,0.200694993
14/7/18,0.194691002
15/7/18,0.199310005
16/7/18,0.222559005
17/7/18,0.248674005
18/7/18,0.239779994
19/7/18,0.229672998
20/7/18,0.216450006
21/7/18,0.222991005
22/7/18,0.201422006
23/7/18,0.197050005
24/7/18,0.202623993
25/7/18,0.243708
26/7/18,0.251830995
27/7/18,0.266840011
28/7/18,0.279980987
29/7/18,0.328678995
30/7/18,0.318273991
31/7/18,0.293933988
1/8/18,0.287279993
2/8/18,0.309579998
3/8/18,0.284745991
4/8/18,0.257988989
5/8/18,0.25394699
6/8/18,0.236470997
7/8/18,0.233997002
8/8/18,0.228039995
9/8/18,0.276127994
10/8/18,0.274726987
11/8/18,0.270669997
12/8/18,0.283596992
13/8/18,0.259292006
14/8/18,0.271910012
15/8/18,0.257546991
16/8/18,0.268243998
17/8/18,0.291826993
18/8/18,0.273319989
19/8/18,0.302271992
20/8/18,0.287261993
21/8/18,0.311926991
22/8/18,0.314631999
23/8/18,0.321022004
24/8/18,0.336926997
25/8/18,0.319766998
26/8/18,0.328877985
27/8/18,0.336084992
28/8/18,0.335792989
29/8/18,0.308710009
30/8/18,0.30539
31/8/18,0.328099012
1/9/18,0.328258008
2/9/18,0.310938001
3/9/18,0.303939998
4/9/18,0.299719989
5/9/18,0.26869899
6/9/18,0.272390008
7/9/18,0.260661989
8/9/18,0.241907001
9/9/18,0.239740998
10/9/18,0.247806996
11/9/18,0.260428995
12/9/18,0.253495008
13/9/18,0.271775991
14/9/18,0.26889801
15/9/18,0.269288003
16/9/18,0.273865014
17/9/18,0.268721014
18/9/18,0.291211993
19/9/18,0.329172999
20/9/18,0.358402997
21/9/18,0.353302985
22/9/18,0.337859988
23/9/18,0.343609005
24/9/18,0.334657013
25/9/18,0.326492995
26/9/18,0.348924011
27/9/18,0.345589995
28/9/18,0.334982991
29/9/18,0.329201996
30/9/18,0.331898004
1/10/18,0.325231999
2/10/18,0.321105003
3/10/18,0.310337991
4/10/18,0.320939988
5/10/18,0.356503993
6/10/18,0.33809799
7/10/18,0.337637007
8/10/18,0.343585014
9/10/18,0.339711994
10/10/18,0.347860992
11/10/18,0.30320099
12/10/18,0.311277986
13/10/18,0.318843007
14/10/18,0.325284004
15/10/18,0.339637995
16/10/18,0.358844995
17/10/18,0.376967996
18/10/18,0.376913011
19/10/18,0.361977011
20/10/18,0.370766014
21/10/18,0.371791005
22/10/18,0.390430987
23/10/18,0.43788299
24/10/18,0.412075013
25/10/18,0.437743008
26/10/18,0.432123005
27/10/18,0.444364011
28/10/18,0.440447986
29/10/18,0.418148011
30/10/18,0.450410008
31/10/18,0.506043971
1/11/18,0.514021993
2/11/18,0.500783026
3/11/18,0.543030977
4/11/18,0.503996015
5/11/18,0.481368005
6/11/18,0.484115005
7/11/18,0.482140988
8/11/18,0.497974008
9/11/18,0.492477
10/11/18,0.521143019
11/11/18,0.509635985
12/11/18,0.562798977
13/11/18,0.581441998
14/11/18,0.547842979
15/11/18,0.54163301
16/11/18,0.512893975
17/11/18,0.485119998
18/11/18,0.52423799
19/11/18,0.41128999
20/11/18,0.341812998
21/11/18,0.367507011
22/11/18,0.342961013
23/11/18,0.329342991
24/11/18,0.284568012
25/11/18,0.259427994
26/11/18,0.283865988
27/11/18,0.287584007
28/11/18,0.331459999
29/11/18,0.344781995
30/11/18,0.322241992
1/12/18,0.332691997
2/12/18,0.31565699
3/12/18,0.28848201
4/12/18,0.287811995
5/12/18,0.256612986
6/12/18,0.222731993
7/12/18,0.216468006
8/12/18,0.228283003
9/12/18,0.239791006
10/12/18,0.219071999
11/12/18,0.223390996
12/12/18,0.226759002
13/12/18,0.205696002
14/12/18,0.202932
15/12/18,0.203356996
16/12/18,0.206882
17/12/18,0.233421996
18/12/18,0.270224988
19/12/18,0.296346009
20/12/18,0.338506013
21/12/18,0.298483014
22/12/18,0.311306
23/12/18,0.313261002
24/12/18,0.307951987
25/12/18,0.317662001
26/12/18,0.307583004
27/12/18,0.275171012
28/12/18,0.298379004
29/12/18,0.299970001
30/12/18,0.298642993
31/12/18,0.289444
1/1/19,0.299371004
2/1/19,0.316489011
3/1/19,0.365974009
4/1/19,0.437175006
5/1/19,0.395947993
6/1/19,0.397009999
7/1/19,0.376473993
8/1/19,0.424198002
9/1/19,0.401805013
10/1/19,0.354604006
11/1/19,0.444193006
12/1/19,0.412243992
13/1/19,0.444261014
14/1/19,0.485659987
15/1/19,0.518795013
16/1/19,0.497373998
17/1/19,0.483011991
18/1/19,0.500732005
19/1/19,0.491470009
20/1/19,0.490123004
21/1/19,0.503412008
22/1/19,0.540335
23/1/19,0.509976029
24/1/19,0.504242003
25/1/19,0.479548991
26/1/19,0.472149014
27/1/19,0.43374899
28/1/19,0.413489997
29/1/19,0.455235004
30/1/19,0.426928997
31/1/19,0.387690008
1/2/19,0.419263005
2/2/19,0.414927006
3/2/19,0.396142006
4/2/19,0.394452006
5/2/19,0.421775997
6/2/19,0.399619997
7/2/19,0.401473999
8/2/19,0.436518997
9/2/19,0.464334011
10/2/19,0.452185988
11/2/19,0.429450989
12/2/19,0.425395012
13/2/19,0.444043994
14/2/19,0.428375989
15/2/19,0.432969004
16/2/19,0.440510988
17/2/19,0.457498997
18/2/19,0.474332988
19/2/19,0.45815599
20/2/19,0.466109991
21/2/19,0.445463002
22/2/19,0.45202899
23/2/19,0.461888999
24/2/19,0.410640001
25/2/19,0.470638007
26/2/19,0.437431991
27/2/19,0.431479007
28/2/19,0.427421004
1/3/19,0.431784987
2/3/19,0.427787006
3/3/19,0.424169004
4/3/19,0.407810986
5/3/19,0.432996988
6/3/19,0.431820989
7/3/19,0.455832005
8/3/19,0.466201991
9/3/19,0.477456003
10/3/19,0.501767993
11/3/19,0.467489988
12/3/19,0.488552004
13/3/19,0.484510005
14/3/19,0.491097003
15/3/19,0.490087003
16/3/19,0.485599011
17/3/19,0.483684987
18/3/19,0.480713993
19/3/19,0.485390991
20/3/19,0.486086011
21/3/19,0.461061001
22/3/19,0.466446012
23/3/19,0.463084012
24/3/19,0.456405014
25/3/19,0.476395011
26/3/19,0.463600993
27/3/19,0.499870986
28/3/19,0.503458977
29/3/19,0.499502003
30/3/19,0.494278014
31/3/19,0.507613003
1/4/19,0.556137979
2/4/19,0.584279001
3/4/19,0.565452993
4/4/19,0.542240024
5/4/19,0.577467978
6/4/19,0.570110023
7/4/19,0.577118993
8/4/19,0.568898976
9/4/19,0.534680009
10/4/19,0.520256996
11/4/19,0.486122996
12/4/19,0.495350003
13/4/19,0.539207995
14/4/19,0.528739989
15/4/19,0.492213994
16/4/19,0.503054023
17/4/19,0.500258982
18/4/19,0.524362028
19/4/19,0.514270008
20/4/19,0.515661001
21/4/19,0.49949801
22/4/19,0.496663988
23/4/19,0.481483012
24/4/19,0.478312999
25/4/19,0.445506006
26/4/19,0.436926007
27/4/19,0.441570997
28/4/19,0.448217988
29/4/19,0.433501005
30/4/19,0.473170012
1/5/19,0.476024985
2/5/19,0.463420987
3/5/19,0.51216501
4/5/19,0.494994998
5/5/19,0.506978989
6/5/19,0.578119993
7/5/19,0.544723988
8/5/19,0.591536999
9/5/19,0.639849007
10/5/19,0.671459973
11/5/19,0.678822994
12/5/19,0.657989979
13/5/19,0.646696985
14/5/19,0.82308197
15/5/19,0.845574021
16/5/19,0.92612499
17/5/19,0.887731016
18/5/19,0.934153974
19/5/19,0.994350016
20/5/19,1.12893796
21/5/19,1.18592298
22/5/19,1.220044017
23/5/19,1.344990969
24/5/19,1.336959958
25/5/19,1.129312038
26/5/19,1.087064981
27/5/19,1.211011052
28/5/19,1.275388956
29/5/19,1.182788014
30/5/19,1.024750948
31/5/19,1.021520019
1/6/19,0.965131998
2/6/19,1.012434006
3/6/19,0.910969019
4/6/19,0.883249998
5/6/19,1.077118039
6/6/19,1.119632959
7/6/19,1.17761302
8/6/19,1.152619958
9/6/19,1.073253036
10/6/19,1.191715956
11/6/19,1.138304949
12/6/19,1.142758965
13/6/19,1.847919941
14/6/19,1.676558018
15/6/19,1.721302986
16/6/19,1.673431993
17/6/19,1.971634984
18/6/19,1.818536997
19/6/19,1.838441014
20/6/19,1.765550971
21/6/19,1.702870965
22/6/19,1.838552952
23/6/19,1.801375031
24/6/19,1.860334039
25/6/19,2.189712048
26/6/19,2.261559963
27/6/19,2.26760602
28/6/19,2.961826086
29/6/19,3.703151941
30/6/19,3.446888924
1/7/19,3.591973066
2/7/19,3.645436049
3/7/19,3.533164024
4/7/19,3.484890938
5/7/19,3.622153044
6/7/19,3.476880074
7/7/19,3.314356089
8/7/19,3.335757971
9/7/19,3.112948895
10/7/19,3.118319035
11/7/19,2.827140093
12/7/19,3.173851013
13/7/19,3.17048502
14/7/19,2.78737998
15/7/19,2.728492022
16/7/19,2.197649956
17/7/19,2.379703999
18/7/19,2.679090977
19/7/19,2.608850956
20/7/19,2.644640923
21/7/19,2.550354958
22/7/19,2.425729036
23/7/19,2.370990992
24/7/19,2.405395985
25/7/19,2.384253025
26/7/19,2.403562069
27/7/19,2.258480072
28/7/19,2.217729092
29/7/19,2.140304089
30/7/19,2.089138985
31/7/19,2.196837902
1/8/19,2.18125701
2/8/19,2.399795055
3/8/19,2.425478935
4/8/19,2.497683048
5/8/19,2.484375
6/8/19,2.460669994
7/8/19,2.391855001
8/8/19,2.289083958
9/8/19,2.179155111
10/8/19,2.322568893
11/8/19,2.396836042
12/8/19,2.379977942
13/8/19,2.413079977
14/8/19,2.271147966
15/8/19,2.412744999
16/8/19,2.321892977
17/8/19,2.39338994
18/8/19,2.499639988
19/8/19,2.505151987
20/8/19,2.380462885
21/8/19,2.216314077
22/8/19,2.229581118
23/8/19,2.253302097
24/8/19,2.185192108
25/8/19,2.085077047
26/8/19,2.07684803
27/8/19,2.107181072
28/8/19,1.900387049
29/8/19,1.783432961
30/8/19,1.806380033
31/8/19,1.790230989
1/9/19,1.775217056
2/9/19,1.833488941
3/9/19,1.854688048
4/9/19,1.785244942
5/9/19,1.797883987
6/9/19,1.731495976
7/9/19,1.776960015
8/9/19,1.830963969
9/9/19,1.796893001
10/9/19,1.802129984
11/9/19,1.734827042
12/9/19,1.707638979
13/9/19,1.580932975
14/9/19,1.565104961
15/9/19,1.617524981
16/9/19,1.581434965
17/9/19,1.629438043
18/9/19,1.80982101
19/9/19,1.875869989
20/9/19,1.827749968
21/9/19,1.889405012
22/9/19,1.821400046
23/9/19,1.807347059
24/9/19,1.735808969
25/9/19,1.760189056
26/9/19,1.658975959
27/9/19,1.670161009
28/9/19,1.687368035
