Date,XRP
1/10/17,0.206532001
2/10/17,0.202675998
3/10/17,0.203318
4/10/17,0.214773998
5/10/17,0.237016007
6/10/17,0.234038994
7/10/17,0.238609999
8/10/17,0.279944003
9/10/17,0.251825005
10/10/17,0.260733008
11/10/17,0.264438987
12/10/17,0.248413995
13/10/17,0.260488987
14/10/17,0.257319987
15/10/17,0.263983011
16/10/17,0.256231993
17/10/17,0.232063994
18/10/17,0.218520001
19/10/17,0.215149999
20/10/17,0.210548997
21/10/17,0.211015999
22/10/17,0.204177007
23/10/17,0.196927994
24/10/17,0.206643999
25/10/17,0.204604
26/10/17,0.203628004
27/10/17,0.202785
28/10/17,0.201835006
29/10/17,0.202785
30/10/17,0.202711001
31/10/17,0.200558007
1/11/17,0.194123998
2/11/17,0.205861002
3/11/17,0.208132997
4/11/17,0.203749999
5/11/17,0.202055007
6/11/17,0.205990002
7/11/17,0.210354
8/11/17,0.217436999
9/11/17,0.217488006
10/11/17,0.206483006
11/11/17,0.210429996
12/11/17,0.197338998
13/11/17,0.203442007
14/11/17,0.209824994
15/11/17,0.212955996
16/11/17,0.227107003
17/11/17,0.226581007
18/11/17,0.228626996
19/11/17,0.231015995
20/11/17,0.238758996
21/11/17,0.233271003
22/11/17,0.238858998
23/11/17,0.242402002
24/11/17,0.244642004
25/11/17,0.252393007
26/11/17,0.248817995
27/11/17,0.253926992
28/11/17,0.299151987
29/11/17,0.243064001
30/11/17,0.250878006
1/12/17,0.255699009
2/12/17,0.255492002
3/12/17,0.252557993
4/12/17,0.253571004
5/12/17,0.246101007
6/12/17,0.232544005
7/12/17,0.222822994
8/12/17,0.252124995
9/12/17,0.244708002
10/12/17,0.237333
11/12/17,0.251691014
12/12/17,0.373540998
13/12/17,0.471062988
14/12/17,0.864262998
15/12/17,0.756181002
16/12/17,0.758642018
17/12/17,0.728366017
18/12/17,0.778406978
19/12/17,0.791257024
20/12/17,0.775964022
21/12/17,1.19306004
22/12/17,1.138280034
23/12/17,1.17434001
24/12/17,1.043949962
25/12/17,1.122320056
26/12/17,1.189489961
27/12/17,1.399639964
28/12/17,1.430879951
29/12/17,2.214600086
30/12/17,2.159019947
31/12/17,2.300570011
1/1/18,2.391030073
2/1/18,2.480900049
3/1/18,3.105370045
4/1/18,3.196630001
5/1/18,3.048710108
6/1/18,3.09397006
7/1/18,3.377810001
8/1/18,2.456209898
9/1/18,2.101779938
10/1/18,1.974920034
11/1/18,1.950799942
12/1/18,2.043230057
13/1/18,2.021349907
14/1/18,1.861189961
15/1/18,1.676730037
16/1/18,1.179239988
17/1/18,1.306339979
18/1/18,1.596580029
19/1/18,1.552049994
20/1/18,1.578619957
21/1/18,1.38004005
22/1/18,1.357349992
23/1/18,1.337069988
24/1/18,1.357149959
25/1/18,1.312229991
26/1/18,1.217270017
27/1/18,1.219110012
28/1/18,1.399600029
29/1/18,1.32396996
30/1/18,1.138560057
31/1/18,1.162389994
1/2/18,0.962530017
2/2/18,0.884783983
3/2/18,0.924043
4/2/18,0.815702975
5/2/18,0.691798985
6/2/18,0.776392996
7/2/18,0.723895013
8/2/18,0.805262983
9/2/18,0.954428017
10/2/18,1.070739985
11/2/18,1.004160047
12/2/18,1.081009984
13/2/18,1.02741003
14/2/18,1.14162004
15/2/18,1.146860003
16/2/18,1.138030052
17/2/18,1.204980016
18/2/18,1.120460033
19/2/18,1.144420028
20/2/18,1.089460015
21/2/18,1.015390038
22/2/18,0.941788018
23/2/18,0.998854995
24/2/18,0.95440203
25/2/18,0.943486989
26/2/18,0.956858993
27/2/18,0.947305024
28/2/18,0.904582977
1/3/18,0.928346992
2/3/18,0.910143971
3/3/18,0.907804012
4/3/18,1.005540013
5/3/18,0.95936799
6/3/18,0.922887027
7/3/18,0.871209979
8/3/18,0.825856984
9/3/18,0.849761009
10/3/18,0.796626985
11/3/18,0.831121981
12/3/18,0.801047981
13/3/18,0.789710999
14/3/18,0.701901972
15/3/18,0.697269022
16/3/18,0.689260006
17/3/18,0.637856007
18/3/18,0.658776999
19/3/18,0.749080002
20/3/18,0.709807992
21/3/18,0.693664014
22/3/18,0.662742972
23/3/18,0.643173993
24/3/18,0.641264975
25/3/18,0.641875029
26/3/18,0.599462986
27/3/18,0.57791698
28/3/18,0.578001976
29/3/18,0.511511028
30/3/18,0.509564996
31/3/18,0.512353003
1/4/18,0.485080987
2/4/18,0.500688016
3/4/18,0.558044016
4/4/18,0.501631021
5/4/18,0.495801002
6/4/18,0.476431012
7/4/18,0.487866998
8/4/18,0.50039798
9/4/18,0.491854995
10/4/18,0.491930991
11/4/18,0.539506018
12/4/18,0.628736973
13/4/18,0.638086975
14/4/18,0.632184029
15/4/18,0.682533979
16/4/18,0.663296998
17/4/18,0.65693301
18/4/18,0.708931983
19/4/18,0.791975975
20/4/18,0.924465001
21/4/18,0.873103023
22/4/18,0.869994998
23/4/18,0.876657009
24/4/18,0.934781015
25/4/18,0.800607026
26/4/18,0.852414012
27/4/18,0.813884974
28/4/18,0.863803983
29/4/18,0.872777998
30/4/18,0.837938011
1/5/18,0.841407001
2/5/18,0.859094024
3/5/18,0.884465992
4/5/18,0.895442009
5/5/18,0.905103028
6/5/18,0.871424019
7/5/18,0.832641006
8/5/18,0.813970029
9/5/18,0.802043021
10/5/18,0.758237004
11/5/18,0.684948027
12/5/18,0.696735024
13/5/18,0.745747983
14/5/18,0.740898013
15/5/18,0.698588014
16/5/18,0.714080989
17/5/18,0.667309999
18/5/18,0.680293977
19/5/18,0.67671299
20/5/18,0.700244009
21/5/18,0.681586981
22/5/18,0.645567
23/5/18,0.599593997
24/5/18,0.631996989
25/5/18,0.611001015
26/5/18,0.612707973
27/5/18,0.60788101
28/5/18,0.552299023
29/5/18,0.601240993
30/5/18,0.60581702
31/5/18,0.612622023
1/6/18,0.623363972
2/6/18,0.643450975
3/6/18,0.671204984
4/6/18,0.661424994
5/6/18,0.677015007
6/6/18,0.674796999
7/6/18,0.678128004
8/6/18,0.67434299
9/6/18,0.659754992
10/6/18,0.588126004
11/6/18,0.604066014
12/6/18,0.562933028
13/6/18,0.534663022
14/6/18,0.561306
15/6/18,0.537706971
16/6/18,0.534784019
17/6/18,0.528216004
18/6/18,0.537495017
19/6/18,0.549620986
20/6/18,0.539286017
21/6/18,0.534775019
22/6/18,0.486947
23/6/18,0.491284013
24/6/18,0.477380008
25/6/18,0.481752992
26/6/18,0.456001014
27/6/18,0.470369995
28/6/18,0.448457986
29/6/18,0.453079998
30/6/18,0.466244996
1/7/18,0.461358011
2/7/18,0.486122012
3/7/18,0.485222995
4/7/18,0.490043014
5/7/18,0.481624991
6/7/18,0.479151011
7/7/18,0.492477
8/7/18,0.47774899
9/7/18,0.474269986
10/7/18,0.445042014
11/7/18,0.450233012
12/7/18,0.435364008
13/7/18,0.438740999
14/7/18,0.439271003
15/7/18,0.445894003
16/7/18,0.483401
17/7/18,0.505586982
18/7/18,0.486389011
19/7/18,0.476433009
20/7/18,0.446994007
21/7/18,0.455410004
22/7/18,0.449310988
23/7/18,0.445275992
24/7/18,0.457623005
25/7/18,0.459829003
26/7/18,0.449919999
27/7/18,0.453635007
28/7/18,0.453667015
29/7/18,0.45330599
30/7/18,0.446107
31/7/18,0.43522501
1/8/18,0.445852011
2/8/18,0.430254012
3/8/18,0.44057101
4/8/18,0.428507
5/8/18,0.433638006
6/8/18,0.414081007
7/8/18,0.381006002
8/8/18,0.331943989
9/8/18,0.346771002
10/8/18,0.320425987
11/8/18,0.301261991
12/8/18,0.29787001
13/8/18,0.277465999
14/8/18,0.274271995
15/8/18,0.282005012
16/8/18,0.292436004
17/8/18,0.366676003
18/8/18,0.327100009
19/8/18,0.343977988
20/8/18,0.319283009
21/8/18,0.335177004
22/8/18,0.319802999
23/8/18,0.327708989
24/8/18,0.327605993
25/8/18,0.328229994
26/8/18,0.323776007
27/8/18,0.336903006
28/8/18,0.351837009
29/8/18,0.344803005
30/8/18,0.335444003
31/8/18,0.335332006
1/9/18,0.34772101
2/9/18,0.342523009
3/9/18,0.335961014
4/9/18,0.331651986
5/9/18,0.283600986
6/9/18,0.302709997
7/9/18,0.291435003
8/9/18,0.279332995
9/9/18,0.278679997
10/9/18,0.270321012
11/9/18,0.263709992
12/9/18,0.270087004
13/9/18,0.280582994
14/9/18,0.277159005
15/9/18,0.282007992
16/9/18,0.281165987
17/9/18,0.27225101
18/9/18,0.321859986
19/9/18,0.326052994
20/9/18,0.449918002
21/9/18,0.561461985
22/9/18,0.57079798
23/9/18,0.570689023
24/9/18,0.494711995
25/9/18,0.526941001
26/9/18,0.51630801
27/9/18,0.541381001
28/9/18,0.539111972
29/9/18,0.571228027
30/9/18,0.581571996
1/10/18,0.576461017
2/10/18,0.520837009
3/10/18,0.528162003
4/10/18,0.526606023
5/10/18,0.519025981
6/10/18,0.488081992
7/10/18,0.482039005
8/10/18,0.489751011
9/10/18,0.479856998
10/10/18,0.462386996
11/10/18,0.383130014
12/10/18,0.419115007
13/10/18,0.418877989
14/10/18,0.40328601
15/10/18,0.447315991
16/10/18,0.470252991
17/10/18,0.468196988
18/10/18,0.457724988
19/10/18,0.454178005
20/10/18,0.459151
21/10/18,0.456694007
22/10/18,0.453108996
23/10/18,0.462058008
24/10/18,0.457237005
25/10/18,0.458052009
26/10/18,0.459288001
27/10/18,0.456348002
28/10/18,0.462406009
29/10/18,0.441513985
30/10/18,0.444759011
31/10/18,0.44838199
1/11/18,0.455722004
2/11/18,0.458685011
3/11/18,0.455666989
4/11/18,0.462691009
5/11/18,0.497411996
6/11/18,0.549080014
7/11/18,0.535706997
8/11/18,0.493508011
9/11/18,0.500667989
10/11/18,0.506698012
11/11/18,0.505913019
12/11/18,0.517165005
13/11/18,0.510111988
14/11/18,0.474372
15/11/18,0.48170799
16/11/18,0.471608996
17/11/18,0.491654009
18/11/18,0.510473013
19/11/18,0.478166014
20/11/18,0.434726
21/11/18,0.447650999
22/11/18,0.426079988
23/11/18,0.407427996
24/11/18,0.375335991
25/11/18,0.374550998
26/11/18,0.355450988
27/11/18,0.360163003
28/11/18,0.390556991
29/11/18,0.37956199
30/11/18,0.36245501
1/12/18,0.372905999
2/12/18,0.367626995
3/12/18,0.348753989
4/12/18,0.352230996
5/12/18,0.338241994
6/12/18,0.310936004
7/12/18,0.301997006
8/12/18,0.307269007
9/12/18,0.313369989
10/12/18,0.303766012
11/12/18,0.301344991
12/12/18,0.307323009
13/12/18,0.300026
14/12/18,0.288789988
15/12/18,0.285883009
16/12/18,0.287928998
17/12/18,0.328453004
18/12/18,0.350161999
19/12/18,0.35195601
20/12/18,0.378199011
21/12/18,0.358570009
22/12/18,0.362307996
23/12/18,0.371270001
24/12/18,0.406798989
25/12/18,0.380872011
26/12/18,0.378693014
27/12/18,0.341161996
28/12/18,0.376852006
29/12/18,0.367251992
30/12/18,0.369581014
31/12/18,0.352705985
1/1/19,0.364771008
2/1/19,0.375243008
3/1/19,0.360224009
4/1/19,0.356747001
5/1/19,0.355275005
6/1/19,0.368395001
7/1/19,0.364347011
8/1/19,0.36531499
9/1/19,0.370889992
10/1/19,0.332652003
11/1/19,0.332904011
12/1/19,0.328799993
13/1/19,0.317862988
14/1/19,0.333766013
15/1/19,0.327179015
16/1/19,0.329701006
17/1/19,0.329353005
18/1/19,0.324277014
19/1/19,0.331001014
20/1/19,0.321177006
21/1/19,0.320789993
22/1/19,0.319490999
23/1/19,0.316491991
24/1/19,0.317597985
25/1/19,0.317164987
26/1/19,0.314235002
27/1/19,0.309439003
28/1/19,0.294862986
29/1/19,0.289557993
30/1/19,0.320461005
31/1/19,0.310036004
1/2/19,0.308517009
2/2/19,0.310912013
3/2/19,0.302352011
4/2/19,0.300197989
5/2/19,0.29923901
6/2/19,0.29072699
7/2/19,0.29161799
8/2/19,0.311682999
9/2/19,0.311284006
10/2/19,0.309908986
11/2/19,0.302740991
12/2/19,0.305189997
13/2/19,0.304284006
14/2/19,0.301909
15/2/19,0.301759005
16/2/19,0.301703006
17/2/19,0.303369999
18/2/19,0.321568012
19/2/19,0.32376799
20/2/19,0.33287999
21/2/19,0.321291
22/2/19,0.321904004
23/2/19,0.332619995
24/2/19,0.301443011
25/2/19,0.328509986
26/2/19,0.319476992
27/2/19,0.313106
28/2/19,0.31507799
1/3/19,0.317312002
2/3/19,0.315126002
3/3/19,0.312554002
4/3/19,0.305132985
5/3/19,0.316507012
6/3/19,0.317030996
7/3/19,0.31476599
8/3/19,0.310086995
9/3/19,0.313825995
10/3/19,0.313107014
11/3/19,0.311064988
12/3/19,0.310200989
13/3/19,0.314098001
14/3/19,0.312954992
15/3/19,0.315052003
16/3/19,0.320468009
17/3/19,0.317611992
18/3/19,0.317440003
19/3/19,0.319281012
20/3/19,0.31961
21/3/19,0.312718004
22/3/19,0.311540991
23/3/19,0.312359005
24/3/19,0.308991998
25/3/19,0.304055005
26/3/19,0.305059999
27/3/19,0.312465012
28/3/19,0.309246004
29/3/19,0.307929009
30/3/19,0.31063199
31/3/19,0.309228987
1/4/19,0.312747002
2/4/19,0.351498991
3/4/19,0.342233986
4/4/19,0.332513005
5/4/19,0.361802995
6/4/19,0.354404986
7/4/19,0.359856009
8/4/19,0.358233988
9/4/19,0.349462003
10/4/19,0.354791999
11/4/19,0.330983996
12/4/19,0.32634601
13/4/19,0.326030999
14/4/19,0.328808993
15/4/19,0.320912987
16/4/19,0.327217996
17/4/19,0.335453004
18/4/19,0.337065011
19/4/19,0.331901997
20/4/19,0.328476012
21/4/19,0.322448999
22/4/19,0.323933989
23/4/19,0.321222007
24/4/19,0.302318007
25/4/19,0.289384007
26/4/19,0.298501998
27/4/19,0.296741009
28/4/19,0.297425985
29/4/19,0.294288993
30/4/19,0.309475988
1/5/19,0.304695994
2/5/19,0.303238988
3/5/19,0.308221996
4/5/19,0.304551989
5/5/19,0.302341998
6/5/19,0.302388996
7/5/19,0.299683988
8/5/19,0.30072099
9/5/19,0.296508998
10/5/19,0.300386995
11/5/19,0.324542999
12/5/19,0.310074002
13/5/19,0.325475007
14/5/19,0.409061998
15/5/19,0.456005007
16/5/19,0.419707
17/5/19,0.386193007
18/5/19,0.372736007
19/5/19,0.417699993
20/5/19,0.398003012
21/5/19,0.397603005
22/5/19,0.376637012
23/5/19,0.381204009
24/5/19,0.384541005
25/5/19,0.387039989
26/5/19,0.408412993
27/5/19,0.434168011
28/5/19,0.446548998
29/5/19,0.443713009
30/5/19,0.422394991
31/5/19,0.438573986
1/6/19,0.430583
2/6/19,0.444784999
3/6/19,0.425763994
4/6/19,0.400667012
5/6/19,0.402732015
6/6/19,0.419539988
7/6/19,0.423130006
8/6/19,0.412411004
9/6/19,0.388265997
10/6/19,0.400427014
11/6/19,0.394261003
12/6/19,0.401760012
13/6/19,0.400887012
14/6/19,0.405921012
15/6/19,0.410418987
16/6/19,0.427516013
17/6/19,0.448080003
18/6/19,0.428761005
19/6/19,0.43681699
20/6/19,0.429823011
21/6/19,0.443188012
22/6/19,0.474763989
23/6/19,0.468291014
24/6/19,0.470088005
25/6/19,0.468228996
26/6/19,0.467451006
27/6/19,0.408753991
28/6/19,0.427314997
29/6/19,0.429378003
30/6/19,0.396411002
1/7/19,0.406861991
2/7/19,0.400204003
3/7/19,0.408531994
4/7/19,0.388718992
5/7/19,0.378964007
6/7/19,0.389055014
7/7/19,0.397047013
8/7/19,0.401533008
9/7/19,0.394167989
10/7/19,0.363775015
11/7/19,0.330334991
12/7/19,0.344117999
13/7/19,0.33217901
14/7/19,0.306425989
15/7/19,0.315310001
16/7/19,0.296725988
17/7/19,0.310613006
18/7/19,0.323175997
19/7/19,0.32060501
20/7/19,0.333209008
21/7/19,0.331308991
22/7/19,0.322106004
23/7/19,0.309926003
24/7/19,0.315946996
25/7/19,0.314810008
26/7/19,0.323529989
27/7/19,0.31052801
28/7/19,0.312287986
29/7/19,0.310658008
30/7/19,0.318470001
31/7/19,0.320908993
1/8/19,0.317905992
2/8/19,0.312393993
3/8/19,0.316756994
4/8/19,0.319842011
5/8/19,0.323563993
6/8/19,0.311325997
7/8/19,0.311969012
8/8/19,0.307660997
9/8/19,0.297342986
10/8/19,0.298720986
11/8/19,0.30191499
12/8/19,0.300321996
13/8/19,0.296638995
14/8/19,0.263343006
15/8/19,0.264881998
16/8/19,0.261970997
17/8/19,0.265720993
18/8/19,0.282646
19/8/19,0.283327997
20/8/19,0.27580601
21/8/19,0.266261011
22/8/19,0.270943999
23/8/19,0.276544988
24/8/19,0.272552997
25/8/19,0.270087987
26/8/19,0.270788014
27/8/19,0.269618005
28/8/19,0.257450014
29/8/19,0.257045001
30/8/19,0.256217986
31/8/19,0.259204
1/9/19,0.258053988
2/9/19,0.260820001
3/9/19,0.263139009
4/9/19,0.25990501
5/9/19,0.256345987
6/9/19,0.252339989
7/9/19,0.260686994
8/9/19,0.263083994
9/9/19,0.259561986
10/9/19,0.258670986
11/9/19,0.255955994
12/9/19,0.254810989
13/9/19,0.25555101
14/9/19,0.26116699
15/9/19,0.261628002
16/9/19,0.260951996
17/9/19,0.28501299
18/9/19,0.313775986
19/9/19,0.302441001
20/9/19,0.294470012
21/9/19,0.289442986
22/9/19,0.278930992
23/9/19,0.268674999
24/9/19,0.235226005
25/9/19,0.246441007
26/9/19,0.243783996
27/9/19,0.244020998
28/9/19,0.242570996
